cohort,pool,n_held_out,n_cells_mature,candidate,null_rejection,null_rejection_mcse,null_stream_min,null_stream_max,null_abstention_rate,null_median_width,n_scored_null,discrimination,discrimination_mcse,draw_reference_inclusion,draw_reference_inclusion_mcse,alt_abstention_rate,alt_median_width,n_scored_alt,width_ratio_vs_percentile,baseline_discrimination,source_verdict,interval_object
kul3,reference,5,5,percentile,0.605,0.010931033802893484,0.5875,0.65,0.0,3.4742562499999994,2000,0.687,0.01036896812609625,0.4135,0.011011760758389187,0.0,3.1374749999999993,2000,1.0,0.687,fails_null,within_patient_over_cells
kul3,reference,5,5,pseudobulk_patient_t,0.1868407835258664,0.008735504751491947,0.145,0.21265822784810126,0.0045,16.139638317276493,1991,0.21464393179538616,0.009194540548450106,0.966900702106319,0.004006247276195927,0.003,13.949195565454936,1994,4.64549450469478,0.687,fails_null,within_patient_over_cells
kul3,reference,5,50,patient_cluster,0.183,0.008646126300257243,0.1675,0.2125,0.0,8.175459723969768,2000,0.437,0.01109123527836282,0.964,0.0041655731898503495,0.0,5.709556180386177,2000,0.9750551649190426,0.4745,fails_null,within_patient_over_cells
kul3,reference,5,50,percentile,0.192,0.008807269724494646,0.175,0.2,0.0,8.384612500000001,2000,0.4745,0.011165790388503629,0.877,0.007344079247938437,0.0,4.879037499999999,2000,1.0,0.4745,fails_null,within_patient_over_cells
kul3,reference,5,50,pseudobulk_patient_t,0.087,0.006302023484564303,0.0775,0.095,0.0,13.511222136173156,2000,0.232,0.009438643970401681,0.991,0.002111752826445369,0.0,8.866862435930862,2000,1.6114307174211275,0.4745,fails_null,within_patient_over_cells
kul3,reference,5,100,patient_cluster,0.1035,0.006811304941052044,0.0925,0.11,0.0,7.348624341205593,2000,0.44,0.011099549540409287,0.989,0.0023322735688593665,0.0,5.219198830882717,2000,1.056021748234376,0.54,fails_null,within_patient_over_cells
kul3,reference,5,100,percentile,0.1175,0.007200477414727443,0.09,0.135,0.0,6.958781249999998,2000,0.54,0.011144505372604026,0.953,0.004732388403332932,0.0,4.22093125,2000,1.0,0.54,fails_null,within_patient_over_cells
kul3,reference,5,100,pseudobulk_patient_t,0.0475,0.004756245893559331,0.04,0.055,0.0,10.802106756562498,2000,0.229,0.009395717109406818,0.9905,0.0021690723823791537,0.0,7.5139390372846355,2000,1.5522986523771676,0.54,calibrated_but_underpowered,within_patient_over_cells
kul3,reference,5,800,patient_cluster,0.012,0.002434748446965312,0.0025,0.0225,0.0,5.818358558066668,2000,0.4315,0.01107492099294618,0.9985,0.0008653756409790912,0.0,4.526638491001513,2000,1.5529651273161207,0.877,passes_by_width,within_patient_over_cells
kul3,reference,5,800,percentile,0.0565,0.005162739098579358,0.045,0.0725,0.0,3.7466124999999995,2000,0.877,0.007344079247938437,0.9955,0.0014966211945579198,0.0,2.94404375,2000,1.0,0.877,pass,within_patient_over_cells
