cohort,pool,n_cells_mature,shift,method,n_attempted,n_valid,n_excluded,median_width,n_covered,coverage,coverage_low,coverage_high,n_rejected,rejection,rejection_low,rejection_high
smc,pooled,30,1.0,bca2000,2000,2000,0,4.761393430333479,1410,0.705,0.6846357170878257,0.7245782935268605,590,0.295,0.27542170647313935,0.3153642829121742
smc,pooled,30,1.0,bootstrap_t2000,2000,2000,0,6.326084145078564,1439,0.7195,0.6994049846594416,0.7387534315840883,561,0.2805,0.2612465684159116,0.3005950153405584
smc,pooled,30,1.0,welch,2000,2000,0,4.232058921518443,1390,0.695,0.6744641857496321,0.7147881658106792,610,0.305,0.28521183418932067,0.32553581425036787
smc,pooled,50,0.5,percentile200,2000,2000,0,2.1525000000000007,1755,0.8775,0.8624029252920606,0.8911497040105931,977,0.4885,0.4666357769044239,0.5104083151830447
smc,pooled,50,0.5,percentile2000,2000,2000,0,2.1858625,1768,0.884,0.8692237823494589,0.8973039253385389,959,0.4795,0.4576656229232075,0.5014129760153236
smc,pooled,50,0.5,bca2000,2000,2000,0,2.3849858894734877,1673,0.8365,0.8196497792251847,0.8520600479545322,878,0.439,0.41738810737257864,0.46084577239573415
smc,pooled,50,0.5,bootstrap_t2000,2000,2000,0,2.5992114277730525,1725,0.8625,0.846710940600441,0.8768992001206507,863,0.4315,0.40994528998916885,0.4533173454883627
smc,pooled,50,0.5,welch,2000,2000,0,2.2624993007746594,1802,0.901,0.8871320405740596,0.9133304875063756,966,0.483,0.46115317354684554,0.504912006060717
smc,pooled,50,1.0,percentile200,2000,2000,0,3.7855375000000007,1544,0.772,0.753101868914027,0.7898552573649715,456,0.228,0.21014474263502853,0.24689813108597303
smc,pooled,50,1.0,percentile2000,2000,2000,0,3.854874999999999,1556,0.778,0.7592629744365406,0.7956711472750827,444,0.222,0.2043288527249172,0.24073702556345938
smc,pooled,50,1.0,bca2000,2000,2000,0,4.444493995788964,1568,0.784,0.7654295531559238,0.8014815639883245,432,0.216,0.19851843601167546,0.23457044684407613
smc,pooled,50,1.0,bootstrap_t2000,2000,2000,0,5.727008585814181,1585,0.7925,0.7741752306515731,0.8097032966888938,415,0.2075,0.19029670331110604,0.22582476934842682
smc,pooled,50,1.0,welch,2000,2000,0,4.065942281157355,1561,0.7805,0.7618317079481217,0.7980928285270953,439,0.2195,0.20190717147290457,0.23816829205187826
smc,reference,30,0.5,percentile200,2000,2000,0,6.459002083333335,1781,0.8905,0.8760586499397343,0.903444136133607,1357,0.6785,0.6577054850262555,0.6986101290943373
smc,reference,30,0.5,percentile2000,2000,2000,0,6.657462499999995,1800,0.9,0.8860755875933475,0.9123907745816502,1340,0.67,0.6490836827479973,0.6902645211763767
smc,reference,30,0.5,bca2000,2000,2000,0,7.0664987574391205,1796,0.898,0.8839638841043522,0.9105101462597704,1156,0.578,0.5562259272236716,0.599475013400453
smc,reference,30,0.5,bootstrap_t2000,2000,2000,0,7.770878227776051,1823,0.9115,0.8982505492332389,0.9231717208542898,1076,0.538,0.5160982971980542,0.5597560072085707
smc,reference,30,0.5,welch,2000,2000,0,7.0532200824923725,1808,0.904,0.8903038697549172,0.9161471560418305,1368,0.684,0.6632884153284588,0.7040061112720402
smc,reference,30,1.0,percentile200,2000,2000,0,11.434083333333337,1716,0.858,0.8420154493218232,0.8726119448247996,284,0.142,0.12738805517520033,0.1579845506781767
smc,reference,30,1.0,percentile2000,2000,2000,0,11.737914583333332,1725,0.8625,0.846710940600441,0.8768992001206507,275,0.1375,0.12310079987934935,0.153289059399559
smc,reference,30,1.0,bca2000,2000,2000,0,12.630880989285053,1765,0.8825,0.8676485316803879,0.8958849271494533,235,0.1175,0.10411507285054655,0.13235146831961192
smc,reference,30,1.0,bootstrap_t2000,2000,2000,0,15.432220141947568,1820,0.91,0.8966591728360274,0.9217688483933453,180,0.09,0.07823115160665478,0.10334082716397261
smc,reference,30,1.0,welch,2000,2000,0,12.809692521630783,1726,0.863,0.8472329911935903,0.87737523248022,274,0.137,0.12262476751977995,0.15276700880640964
smc,reference,50,0.5,percentile200,2000,2000,0,5.28695625,1826,0.913,0.8998429921623659,0.9245735267833193,1556,0.778,0.7592629744365406,0.7956711472750827
smc,reference,50,0.5,percentile2000,2000,2000,0,5.451675,1842,0.921,0.9083551101095888,0.9320307360795963,1526,0.763,0.7438701413329122,0.7811214917971488
smc,reference,50,0.5,bca2000,2000,2000,0,5.710849676974046,1839,0.9195,0.9067565315069778,0.9306350658240509,1377,0.6885,0.6678587105380663,0.7084185626369012
smc,reference,50,0.5,bootstrap_t2000,2000,2000,0,6.027755190697572,1852,0.926,0.9136928772514722,0.9366737984649004,1318,0.659,0.637937302849784,0.6794530761147776
smc,reference,50,0.5,welch,2000,2000,0,5.633489007597171,1849,0.9245,0.9120900214010068,0.9352824054572093,1565,0.7825,0.7638873866000517,0.8000294816860403
smc,reference,50,1.0,percentile200,2000,2000,0,9.754125000000004,1811,0.9055,0.8918912091403923,0.9175540655145114,189,0.0945,0.08244593448548859,0.10810879085960753
smc,reference,50,1.0,percentile2000,2000,2000,0,10.10234375,1831,0.9155,0.9024995017830912,0.9269074319261874,169,0.0845,0.07309256807381255,0.09750049821690863
smc,reference,50,1.0,bca2000,2000,2000,0,10.891548582669706,1845,0.9225,0.9099549326082559,0.9334251624390852,155,0.0775,0.06657483756091465,0.09004506739174409
smc,reference,50,1.0,bootstrap_t2000,2000,2000,0,12.177869018167094,1879,0.9395,0.9281849047504186,0.94913001068936,121,0.0605,0.05086998931063991,0.0718150952495814
smc,reference,50,1.0,welch,2000,2000,0,10.529308542942069,1829,0.9145,0.9014365264814974,0.9259742413223437,171,0.0855,0.07402575867765614,0.09856347351850255
