cohort,pool,n_held_out,n_cells_mature,shift,seed,n_attempted,n_valid,n_abstained,abstention,median_width,source_patients_min,source_patients_max,median_abs_target_gap,n_rejected,rejection,rejection_low,rejection_high,n_cell_covered,cell_coverage,cell_coverage_low,cell_coverage_high,n_patient_covered,patient_coverage,patient_coverage_low,patient_coverage_high,n_draw_covered,draw_inclusion,draw_inclusion_low,draw_inclusion_high,unconditional_rejection
kul3,pooled,5,800,0.5,1,400,400,0,0.0,2.786348951324035,4,5,0.060599129482214464,69,0.1725,0.13863520728428091,0.2125953455046833,386,0.965,0.9421148604670819,0.9790387058020222,386,0.965,0.9421148604670819,0.9790387058020222,396,0.99,0.9745734353473804,0.996104516205009,0.1725
kul3,pooled,5,800,0.5,2,400,400,0,0.0,2.697839730447031,4,5,0.060599129482214464,77,0.1925,0.156861025193276,0.2339890358223164,376,0.94,0.9122771510995438,0.9593520298862752,374,0.935,0.9064647858253625,0.9552595181037997,391,0.9775,0.9577973424412419,0.988118416469505,0.1925
kul3,pooled,5,800,0.5,20260831,400,400,0,0.0,2.6842270041434233,4,5,0.056353331928578165,72,0.18,0.14545031532583302,0.22063755304811672,390,0.975,0.9545984121283544,0.986364908254064,387,0.9675,0.9451958471762332,0.9809101576211996,399,0.9975,0.9859767149241766,0.9995585522131983,0.18
kul3,pooled,5,800,0.5,3,400,400,0,0.0,2.7561927125920254,4,5,0.060599129482214464,82,0.205,0.16833283817780625,0.24727941547942867,383,0.9575,0.9329979456752499,0.9732983050088689,380,0.95,0.9240363649362803,0.9674025701628527,398,0.995,0.9819550815637568,0.9986277470452896,0.205
kul3,pooled,5,800,0.5,4,400,400,0,0.0,2.6539632050556095,4,5,0.056353331928578165,100,0.25,0.2100790142364741,0.2946771329306741,388,0.97,0.9483014642909042,0.9827569790348569,389,0.9725,0.9514345181143852,0.9845763637397046,398,0.995,0.9819550815637568,0.9986277470452896,0.25
kul3,pooled,5,800,1.0,1,400,400,0,0.0,3.3651038953907397,4,5,0.0,20,0.05,0.03259742983714726,0.07596363506371961,380,0.95,0.9240363649362803,0.9674025701628527,380,0.95,0.9240363649362803,0.9674025701628527,380,0.95,0.9240363649362803,0.9674025701628527,0.05
kul3,pooled,5,800,1.0,2,400,400,0,0.0,3.2302921080168354,4,5,0.0,27,0.0675,0.04680146916375965,0.09642666543540682,373,0.9325,0.9035733345645931,0.9531985308362403,373,0.9325,0.9035733345645931,0.9531985308362403,373,0.9325,0.9035733345645931,0.9531985308362403,0.0675
kul3,pooled,5,800,1.0,20260831,400,400,0,0.0,3.3223200792983167,4,5,0.0,15,0.0375,0.022855029814710867,0.060943842444513396,385,0.9625,0.9390561575554867,0.9771449701852891,385,0.9625,0.9390561575554867,0.9771449701852891,385,0.9625,0.9390561575554867,0.9771449701852891,0.0375
kul3,pooled,5,800,1.0,3,400,400,0,0.0,3.2397428831260946,4,5,0.0,16,0.04,0.024769063069711758,0.06398224771784103,384,0.96,0.9360177522821589,0.9752309369302883,384,0.96,0.9360177522821589,0.9752309369302883,384,0.96,0.9360177522821589,0.9752309369302883,0.04
kul3,pooled,5,800,1.0,4,400,400,0,0.0,3.1379246796548395,4,5,0.0,10,0.025,0.013635091745936023,0.045401587871645666,390,0.975,0.9545984121283544,0.986364908254064,390,0.975,0.9545984121283544,0.986364908254064,390,0.975,0.9545984121283544,0.986364908254064,0.025
kul3,reference,2,50,0.5,1,400,266,134,0.33499999999999996,25.51953606162993,1,2,0.03171480540935723,28,0.10526315789473684,0.07383719850490239,0.14792805240288318,252,0.9473684210526315,0.9136064766329528,0.9683929056715568,252,0.9473684210526315,0.9136064766329528,0.9683929056715568,255,0.9586466165413534,0.9274801083353983,0.9767545525146033,0.07
kul3,reference,2,50,0.5,2,400,266,134,0.33499999999999996,32.51984132476084,1,2,0.03171480540935723,18,0.06766917293233082,0.04322923954465928,0.10441841621148683,256,0.9624060150375939,0.9321927027868019,0.9794537175783634,253,0.9511278195488722,0.9181916807152308,0.9712194611044427,256,0.9624060150375939,0.9321927027868019,0.9794537175783634,0.045
kul3,reference,2,50,0.5,20260831,400,243,157,0.39249999999999996,28.093075085214583,1,2,0.02262772798622681,18,0.07407407407407407,0.04736605935297165,0.11403899395954745,238,0.9794238683127572,0.952745858518196,0.9911798544198862,237,0.9753086419753086,0.9471876432913904,0.9886357030120303,239,0.9835390946502057,0.9584475459186488,0.993580533654095,0.045
kul3,reference,2,50,0.5,3,400,264,136,0.33999999999999997,31.882005991880842,1,2,0.03171480540935723,18,0.06818181818181818,0.04356005319778895,0.10519010294351962,256,0.9696969696969697,0.9413542987685098,0.9845665840251544,257,0.9734848484848485,0.9462900669936517,0.98709791969351,256,0.9696969696969697,0.9413542987685098,0.9845665840251544,0.045
kul3,reference,2,50,0.5,4,400,270,130,0.32499999999999996,34.614410338747135,1,2,0.03171480540935723,20,0.07407407407407407,0.04846034055525452,0.11163761907985184,264,0.9777777777777777,0.9523744917592818,0.9897764926500336,263,0.9740740740740741,0.9474615848904624,0.9873859035156802,267,0.9888888888888889,0.9678473125116872,0.9962141599071473,0.05
kul3,reference,2,50,1.0,1,400,264,136,0.33999999999999997,41.319347141433305,1,2,0.0,13,0.04924242424242424,0.02900027093960575,0.08241436573421636,251,0.9507575757575758,0.9175856342657837,0.9709997290603943,251,0.9507575757575758,0.9175856342657837,0.9709997290603943,251,0.9507575757575758,0.9175856342657837,0.9709997290603943,0.0325
kul3,reference,2,50,1.0,2,400,283,117,0.2925,40.56171427160401,1,2,0.0,16,0.05653710247349823,0.03509681529198202,0.08985534109451432,267,0.9434628975265018,0.9101446589054858,0.9649031847080181,267,0.9434628975265018,0.9101446589054858,0.9649031847080181,267,0.9434628975265018,0.9101446589054858,0.9649031847080181,0.04
kul3,reference,2,50,1.0,20260831,400,258,142,0.355,43.670443605352716,1,2,0.0,14,0.05426356589147287,0.03259546353077115,0.08901040806841962,244,0.9457364341085271,0.9109895919315804,0.9674045364692289,244,0.9457364341085271,0.9109895919315804,0.9674045364692289,244,0.9457364341085271,0.9109895919315804,0.9674045364692289,0.035
kul3,reference,2,50,1.0,3,400,262,138,0.345,48.3621565191972,1,2,0.0,8,0.030534351145038167,0.015551836454832692,0.059084598767548756,254,0.9694656488549618,0.9409154012324511,0.9844481635451673,254,0.9694656488549618,0.9409154012324511,0.9844481635451673,254,0.9694656488549618,0.9409154012324511,0.9844481635451673,0.02
kul3,reference,2,50,1.0,4,400,268,132,0.32999999999999996,45.608522406671185,1,2,0.0,11,0.041044776119402986,0.023070817805011478,0.07198995376677102,257,0.9589552238805971,0.928010046233229,0.9769291821949886,257,0.9589552238805971,0.928010046233229,0.9769291821949886,257,0.9589552238805971,0.928010046233229,0.9769291821949886,0.0275
kul3,reference,2,800,0.5,1,400,283,117,0.2925,21.985528746234063,1,2,0.03171480540935723,19,0.06713780918727916,0.04339894711016162,0.10247068760972525,278,0.9823321554770318,0.9593149273317308,0.9924303368375381,278,0.9823321554770318,0.9593149273317308,0.9924303368375381,281,0.9929328621908127,0.9746029508745387,0.9980597916281205,0.0475
kul3,reference,2,800,0.5,2,400,258,142,0.355,17.327355187131165,1,2,0.03171480540935723,32,0.12403100775193798,0.08924320305630246,0.16985044516214542,245,0.9496124031007752,0.9157124103453216,0.9703199278676686,246,0.9534883720930233,0.9204744194483007,0.9731961285768705,250,0.9689922480620154,0.940017601697359,0.9842057855765357,0.08
kul3,reference,2,800,0.5,20260831,400,272,128,0.31999999999999995,18.496365269629127,1,2,0.038382008490704056,26,0.09558823529411764,0.06606816703752749,0.1363722458700655,265,0.9742647058823529,0.9478408171505702,0.9874790622577979,265,0.9742647058823529,0.9478408171505702,0.9874790622577979,266,0.9779411764705882,0.9527184695029548,0.9898519516062535,0.065
kul3,reference,2,800,0.5,3,400,258,142,0.355,17.65828089601859,1,2,0.03171480540935723,30,0.11627906976744186,0.08267532148225396,0.16114190711183202,246,0.9534883720930233,0.9204744194483007,0.9731961285768705,247,0.9573643410852714,0.9252799878046107,0.9760287700327415,254,0.9844961240310077,0.960821468858263,0.9939547576643557,0.075
kul3,reference,2,800,0.5,4,400,273,127,0.3175,20.245503374977062,1,2,0.03171480540935723,28,0.10256410256410256,0.07191779404349893,0.14424007145688664,259,0.9487179487179487,0.9157732291903499,0.9692098258898599,263,0.9633699633699634,0.9338967399412206,0.9799837210191595,265,0.9706959706959707,0.9432512666205517,0.9850778972799135,0.07
kul3,reference,2,800,1.0,1,400,266,134,0.33499999999999996,17.903999647214718,1,2,0.0,11,0.041353383458646614,0.02324544748539674,0.07251989166460175,255,0.9586466165413534,0.9274801083353983,0.9767545525146033,255,0.9586466165413534,0.9274801083353983,0.9767545525146033,255,0.9586466165413534,0.9274801083353983,0.9767545525146033,0.0275
kul3,reference,2,800,1.0,2,400,268,132,0.32999999999999996,17.374044622694672,1,2,0.0,12,0.04477611940298507,0.025796550503994316,0.07662145056720457,256,0.9552238805970149,0.9233785494327954,0.9742034494960056,256,0.9552238805970149,0.9233785494327954,0.9742034494960056,256,0.9552238805970149,0.9233785494327954,0.9742034494960056,0.03
kul3,reference,2,800,1.0,20260831,400,269,131,0.3275,16.80025065462179,1,2,0.0,8,0.02973977695167286,0.0151451076997088,0.05757646073954195,261,0.9702602230483272,0.9424235392604581,0.9848548923002911,261,0.9702602230483272,0.9424235392604581,0.9848548923002911,261,0.9702602230483272,0.9424235392604581,0.9848548923002911,0.02
kul3,reference,2,800,1.0,3,400,287,113,0.2825,16.417528846666215,1,2,0.0,14,0.04878048780487805,0.029276802930936287,0.0802036643649062,273,0.9512195121951219,0.9197963356350937,0.9707231970690636,273,0.9512195121951219,0.9197963356350937,0.9707231970690636,273,0.9512195121951219,0.9197963356350937,0.9707231970690636,0.035
kul3,reference,2,800,1.0,4,400,268,132,0.32999999999999996,15.619486662648798,1,2,0.0,5,0.018656716417910446,0.007994708436192616,0.04292268613909146,263,0.9813432835820896,0.9570773138609086,0.9920052915638073,263,0.9813432835820896,0.9570773138609086,0.9920052915638073,263,0.9813432835820896,0.9570773138609086,0.9920052915638073,0.0125
kul3,reference,5,50,0.5,1,400,400,0,0.0,8.77783683411133,4,5,0.06965598651237004,102,0.255,0.21475670087938903,0.2999043233444163,397,0.9925,0.9781842792759678,0.9974461108047501,397,0.9925,0.9781842792759678,0.9974461108047501,398,0.995,0.9819550815637568,0.9986277470452896,0.255
kul3,reference,5,50,0.5,2,400,400,0,0.0,8.909643636618693,4,5,0.06965598651237004,90,0.225,0.1868047408249817,0.2684270210588814,398,0.995,0.9819550815637568,0.9986277470452896,398,0.995,0.9819550815637568,0.9986277470452896,399,0.9975,0.9859767149241766,0.9995585522131983,0.225
kul3,reference,5,50,0.5,20260831,400,400,0,0.0,8.802663451387854,4,5,0.07841474026132556,99,0.2475,0.20774293744415318,0.29206077119466656,391,0.9775,0.9577973424412419,0.988118416469505,390,0.975,0.9545984121283544,0.986364908254064,390,0.975,0.9545984121283544,0.986364908254064,0.2475
kul3,reference,5,50,0.5,3,400,400,0,0.0,9.361966366691838,4,5,0.07841474026132556,80,0.2,0.16373705973387687,0.24197031686670106,397,0.9925,0.9781842792759678,0.9974461108047501,398,0.995,0.9819550815637568,0.9986277470452896,397,0.9925,0.9781842792759678,0.9974461108047501,0.2
kul3,reference,5,50,0.5,4,400,400,0,0.0,8.866862435929315,4,5,0.06965598651237004,93,0.2325,0.19376640712110382,0.2763226703477448,397,0.9925,0.9781842792759678,0.9974461108047501,398,0.995,0.9819550815637568,0.9986277470452896,398,0.995,0.9819550815637568,0.9986277470452896,0.2325
kul3,reference,5,50,1.0,1,400,400,0,0.0,13.455273705675266,4,5,0.0,31,0.0775,0.05513293467684451,0.10790495403563602,369,0.9225,0.892095045964364,0.9448670653231555,369,0.9225,0.892095045964364,0.9448670653231555,369,0.9225,0.892095045964364,0.9448670653231555,0.0775
kul3,reference,5,50,1.0,2,400,400,0,0.0,13.511222136170801,4,5,0.0,32,0.08,0.05723575041013351,0.11075457683067555,368,0.92,0.8892454231693245,0.9427642495898665,368,0.92,0.8892454231693245,0.9427642495898665,368,0.92,0.8892454231693245,0.9427642495898665,0.08
kul3,reference,5,50,1.0,20260831,400,400,0,0.0,14.322645819972873,4,5,0.0,37,0.0925,0.06785393449857381,0.12489858538387784,363,0.9075,0.8751014146161221,0.9321460655014261,363,0.9075,0.8751014146161221,0.9321460655014261,363,0.9075,0.8751014146161221,0.9321460655014261,0.0925
