cohort,pool,pair_number,n_source_cells,mean_expression,variance_expression,zero_fraction,squared_cv
smc,pooled,22,816,1.4718137254901962,295.35949965157624,0.9656862745098039,136.34689313166027
smc,pooled,23,1514,4.893659180977543,545.9180179181886,0.8500660501981506,22.796070378813763
smc,pooled,24,1175,1.7880851063829788,207.28870909913988,0.902127659574468,64.83347133490295
smc,pooled,25,367,23.190735694822887,3412.715663491451,0.6539509536784741,6.345576047949229
smc,pooled,26,384,20.015625,3199.8539225260415,0.7213541666666666,7.987150009455841
smc,pooled,27,688,12.805232558139535,1960.8050888994053,0.7034883720930233,11.958025770426499
smc,pooled,28,404,19.472772277227723,3177.214605185766,0.7400990099009901,8.378976649890742
smc,pooled,29,1102,12.772232304900182,1703.2793378480308,0.7241379310344828,10.441244366483787
smc,pooled,30,763,11.490170380078636,1757.0021969565537,0.7483617300131061,13.30820148230252
smc,pooled,31,125,7.528,497.849216,0.744,8.784936096878422
smc,pooled,32,429,4.813519813519814,323.1680223428475,0.6993006993006993,13.947708200200506
smc,pooled,33,145,7.7379310344827585,791.9726991676575,0.7931034482758621,13.226974050031615
smc,pooled,34,843,8.695136417556347,806.3803678046405,0.7283511269276394,10.665645527825806
smc,pooled,35,504,4.011904761904762,237.9879535147393,0.7678571428571429,14.786103602215398
smc,pooled,36,446,2.780269058295964,174.60194252850448,0.7556053811659192,22.58787721123829
smc,pooled,37,162,1.8333333333333333,343.91666666666663,0.9382716049382716,102.32231404958678
smc,pooled,38,860,7.563953488372093,729.1296308815577,0.7569767441860465,12.744037726552213
smc,pooled,39,521,2.2975047984644914,111.41820874517853,0.8138195777351248,21.10781688278061
smc,pooled,40,466,3.0493562231759657,281.5233150361951,0.7703862660944206,30.275968544616504
smc,pooled,41,1164,6.554123711340206,606.1147682183724,0.7371134020618557,14.10995396160737
smc,pooled,42,825,2.8133333333333335,161.85848888888887,0.7648484848484849,20.44998989241032
smc,pooled,43,880,7.597727272727273,772.3404493801653,0.7647727272727273,13.37954610063362
smc,pooled,44,541,2.5471349353049906,206.08511656035066,0.8243992606284658,31.764551178481675
smc,pooled,45,1239,6.122679580306699,555.7315195349422,0.7627118644067796,14.82456523315147
smc,reference,1,175,9.022857142857143,1039.8280489795918,0.5371428571428571,12.772425128577622
smc,reference,2,128,11.1328125,1642.9120483398438,0.546875,13.255756725146199
smc,reference,3,214,37.72429906542056,5211.480063761026,0.37383177570093457,3.6620032252764
smc,reference,4,145,9.317241379310344,650.4510820451843,0.5655172413793104,7.492727650269752
smc,reference,5,106,4.971698113207547,349.2916518333927,0.5849056603773585,14.13118903679486
smc,reference,6,186,6.112903225806452,342.1646722164412,0.521505376344086,9.156724055109613
smc,reference,7,105,6.704761904761905,848.7795011337869,0.6285714285714286,18.881137816373965
smc,reference,8,229,28.16593886462882,2285.0204992277036,0.31877729257641924,2.880325941950604
smc,reference,9,158,9.462025316455696,530.413114885435,0.5063291139240507,5.924422769320254
smc,reference,10,107,19.30841121495327,2852.7927329897807,0.411214953271028,7.652038396047565
smc,reference,11,193,45.15025906735751,5934.448924803349,0.27979274611398963,2.9111186276002847
smc,reference,12,124,16.06451612903226,1563.5926118626433,0.45161290322580644,6.058823648005676
smc,reference,13,85,13.741176470588234,1677.3918339100337,0.4235294117647059,8.883552847626191
smc,reference,14,165,10.775757575757575,1032.828503213958,0.4303030303030303,8.894726320064887
smc,reference,15,84,16.011904761904763,2277.2498582766443,0.47619047619047616,8.88228465609928
smc,reference,16,208,34.09134615384615,2798.948386649409,0.22596153846153846,2.40827783846958
smc,reference,17,137,15.591240875912408,1340.3730619638764,0.39416058394160586,5.5139691081372995
smc,reference,18,146,58.63013698630137,7307.219365734658,0.2054794520547945,2.125740894401257
smc,reference,19,77,23.87012987012987,2752.6324843987186,0.4155844155844156,4.831018126577003
smc,reference,20,38,26.68421052631579,4250.268698060942,0.3157894736842105,5.969083715556178
smc,reference,21,118,13.76271186440678,1670.8928468830793,0.3983050847457627,8.821461937926179
smc,reference,22,37,32.189189189189186,5525.072315558803,0.43243243243243246,5.3323407222232815
smc,reference,23,161,43.08695652173913,3447.0110721037,0.14285714285714285,1.8567397772106955
smc,reference,24,90,22.022222222222222,2258.066172839506,0.3333333333333333,4.656015135207789
smc,reference,25,163,52.061349693251536,6182.094395724341,0.25766871165644173,2.280892336625868
smc,reference,26,124,61.79032258064516,7328.859261186264,0.1774193548387097,1.9195324436017402
smc,reference,27,204,40.549019607843135,5283.051518646675,0.27941176470588236,3.2130991642005475
smc,reference,28,123,63.73170731707317,7616.423953995638,0.21138211382113822,1.8751672276356546
smc,reference,29,247,55.0,5264.5182186234815,0.13360323886639677,1.7403366011978452
smc,reference,30,176,49.03409090909091,5780.4420196281,0.22727272727272727,2.4041678963544406
smc,reference,31,55,17.09090909090909,968.1553719008264,0.43636363636363634,3.3144748755092803
smc,reference,32,135,11.481481481481481,610.8570644718792,0.43703703703703706,4.633868886576483
smc,reference,33,54,20.685185185185187,1859.3638545953359,0.5185185185185185,4.3455580677556656
smc,reference,34,178,38.556179775280896,2640.4378550688043,0.19662921348314608,1.7761840151696888
smc,reference,35,107,17.83177570093458,874.7380557253912,0.3925233644859813,2.7509888849333506
