cohort,pool,n_held_out,n_cells_mature,shift,candidate,n_streams,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,median_ci_width,stream_min_rate,stream_max_rate,excludes_zero_rate,coverage,abstention_rate,excludes_zero_mcse,coverage_mcse
kul3,pooled,2,800,0.5,percentile,5,2000.0,2000,0.0,1097.0,1985.0,1.6687562499999982,0.5225,0.58,0.5485,0.9925,0.0,0.011127617669564317,0.0019292161620720412
kul3,pooled,2,800,0.5,pseudobulk_patient_t,5,2000.0,1344,656.0,144.0,1305.0,8.334686422246232,0.09187279151943463,0.1213235294117647,0.10714285714285714,0.9709821428571429,0.328,0.008436706986813107,0.004578662753619155
kul3,pooled,2,800,0.5,studentised,5,2000.0,2000,0.0,1225.0,1980.0,1.7713132291945664,0.585,0.6425,0.6125,0.99,0.0,0.01089366214824014,0.0022248595461287
kul3,pooled,2,800,0.5,welch_t,5,2000.0,2000,0.0,976.0,1988.0,1.6816334963625887,0.47,0.5125,0.488,0.994,0.0,0.011177119485806708,0.0017268468374467964
kul3,pooled,2,800,1.0,bca,5,2000.0,2000,0.0,170.0,1830.0,2.184186310815832,0.075,0.1,0.085,0.915,0.0,0.0062359842847781455,0.006235984284778145
kul3,pooled,2,800,1.0,patient_cluster,5,2000.0,1358,642.0,363.0,995.0,1.3994261515209006,0.23308270676691728,0.291044776119403,0.26730486008836524,0.7326951399116347,0.321,0.012009230981374065,0.012009230981374065
kul3,pooled,2,800,1.0,percentile,5,2000.0,2000,0.0,117.0,1883.0,2.1460562499999982,0.0425,0.0675,0.0585,0.9415,0.0,0.0052477495176503994,0.0052477495176503994
kul3,pooled,2,800,1.0,pseudobulk_patient_t,5,2000.0,1358,642.0,66.0,1292.0,10.088243832919005,0.029850746268656716,0.06390977443609022,0.048600883652430045,0.9513991163475699,0.321,0.005835170759398139,0.005835170759398142
kul3,pooled,2,800,1.0,studentised,5,2000.0,2000,0.0,163.0,1837.0,2.1718916609099113,0.0675,0.095,0.0815,0.9185,0.0,0.006117914268768401,0.006117914268768402
kul3,pooled,2,800,1.0,welch_t,5,2000.0,2000,0.0,95.0,1905.0,2.1640614509702774,0.0375,0.055,0.0475,0.9525,0.0,0.004756245893559331,0.00475624589355933
kul3,pooled,5,5,0.5,patient_cluster,5,2000.0,1952,48.0,1564.0,907.0,1.5796989497249072,0.7837150127226463,0.8158567774936062,0.8012295081967213,0.4646516393442623,0.024,0.009032636164583545,0.011288651576038687
kul3,pooled,5,5,0.5,percentile,5,2000.0,2000,0.0,1579.0,990.0,1.7499500000000001,0.78,0.7975,0.7895,0.495,0.0,0.009115639034099584,0.01117978085652845
kul3,pooled,5,5,0.5,pseudobulk_patient_t,5,2000.0,1952,48.0,522.0,1814.0,5.059600980848764,0.24808184143222506,0.2831168831168831,0.26741803278688525,0.9293032786885246,0.024,0.010018058196288345,0.005801475527196979
kul3,pooled,5,5,1.0,patient_cluster,5,2000.0,1955,45.0,1433.0,522.0,1.7206103762102005,0.6796875,0.783375314861461,0.732992327365729,0.2670076726342711,0.0225,0.01000548635659817,0.01000548635659817
kul3,pooled,5,5,1.0,percentile,5,2000.0,2000,0.0,1442.0,558.0,1.83988125,0.6675,0.7625,0.721,0.279,0.0,0.010028933143659899,0.010028933143659899
kul3,pooled,5,5,1.0,pseudobulk_patient_t,5,2000.0,1955,45.0,470.0,1485.0,5.848571520938611,0.22422680412371135,0.2518891687657431,0.24040920716112532,0.7595907928388747,0.0225,0.009664780903342218,0.009664780903342218
kul3,pooled,5,50,0.5,patient_cluster,5,2000.0,2000,0.0,1064.0,1569.0,2.151120610223085,0.4975,0.545,0.532,0.7845,0.0,0.011157419056394717,0.009194012997597948
kul3,pooled,5,50,0.5,percentile,5,2000.0,2000,0.0,1029.0,1751.0,2.1344499999999997,0.485,0.535,0.5145,0.8755,0.0,0.011175637565705145,0.007382403064043579
kul3,pooled,5,50,0.5,pseudobulk_patient_t,5,2000.0,2000,0.0,651.0,1903.0,3.628267733886426,0.315,0.3425,0.3255,0.9515,0.0,0.01047735057159013,0.004803527349771207
kul3,pooled,5,50,1.0,patient_cluster,5,2000.0,2000,0.0,753.0,1247.0,3.016209395036628,0.3525,0.3925,0.3765,0.6235,0.0,0.01083392241988099,0.01083392241988099
