cohort,pool,n_held_out,n_cells_mature,shift,candidate,seed_stream,n_attempted,n_scored,n_abstained,n_excludes_zero,n_covered,excludes_zero_rate,coverage,median_ci_width,n_normal,n_tumour,n_replicates,n_pool_undefined,null_rejection,null_rejection_mcse,pool_mean,pool_var,pool_skew,pool_form,skew_matched,closed_form_floor
smc,reference,2,100,0.5,percentile,4,400.0,400,0.0,350.0,382.0,0.875,0.955,4.30878125,,,,,,,,,,,,
smc,reference,2,100,0.5,studentised,4,400.0,400,0.0,338.0,379.0,0.845,0.9475,4.436120428697362,,,,,,,,,,,,
smc,reference,2,100,0.5,bca,4,400.0,400,0.0,336.0,380.0,0.84,0.95,4.330300862615351,,,,,,,,,,,,
smc,reference,2,100,0.5,welch_t,4,400.0,400,0.0,355.0,384.0,0.8875,0.96,4.336384478397301,,,,,,,,,,,,
smc,reference,2,100,0.5,patient_cluster,4,400.0,400,0.0,158.0,374.0,0.395,0.935,10.717953670910644,,,,,,,,,,,,
smc,reference,2,100,0.5,pseudobulk_patient_t,4,400.0,400,0.0,27.0,392.0,0.0675,0.98,55.61234490062694,,,,,,,,,,,,
smc,reference,5,5,1.0,percentile,4,400.0,400,0.0,114.0,286.0,0.285,0.715,20.849575,,,,,,,,,,,,
smc,reference,5,5,1.0,patient_cluster,4,400.0,393,7.0,82.0,311.0,0.20865139949109415,0.7913486005089059,24.946935850702562,,,,,,,,,,,,
smc,reference,5,5,1.0,pseudobulk_patient_t,4,400.0,393,7.0,24.0,369.0,0.061068702290076333,0.9389312977099237,46.41311395608586,,,,,,,,,,,,
smc,reference,5,5,0.5,percentile,4,400.0,400,0.0,221.0,273.0,0.5525,0.6825,9.590437499999997,,,,,,,,,,,,
smc,reference,5,5,0.5,patient_cluster,4,400.0,397,3.0,146.0,372.0,0.3677581863979849,0.9370277078085643,19.281123606663193,,,,,,,,,,,,
smc,reference,5,5,0.5,pseudobulk_patient_t,4,400.0,397,3.0,34.0,393.0,0.08564231738035265,0.9899244332493703,37.99127445441962,,,,,,,,,,,,
smc,reference,5,50,0.5,percentile,4,400.0,400,0.0,312.0,370.0,0.78,0.925,6.281643749999999,,,,,,,,,,,,
smc,reference,5,50,0.5,patient_cluster,4,400.0,400,0.0,56.0,400.0,0.14,1.0,18.69226294521993,,,,,,,,,,,,
smc,reference,5,50,0.5,pseudobulk_patient_t,4,400.0,400,0.0,79.0,398.0,0.1975,0.995,14.498777943116387,,,,,,,,,,,,
smc,reference,5,100,1.0,percentile,4,400.0,400,0.0,24.0,376.0,0.06,0.94,8.498412499999999,,,,,,,,,,,,
smc,reference,5,100,1.0,patient_cluster,4,400.0,400,0.0,3.0,397.0,0.0075,0.9925,23.40434784273622,,,,,,,,,,,,
smc,reference,5,100,1.0,pseudobulk_patient_t,4,400.0,400,0.0,9.0,391.0,0.0225,0.9775,13.188510715111597,,,,,,,,,,,,
smc,reference,5,50,1.0,percentile,4,400.0,400,0.0,39.0,361.0,0.0975,0.9025,11.10213749999999,,,,,,,,,,,,
smc,reference,5,50,1.0,patient_cluster,4,400.0,400,0.0,4.0,396.0,0.01,0.99,23.472913391116226,,,,,,,,,,,,
smc,reference,5,50,1.0,pseudobulk_patient_t,4,400.0,400,0.0,14.0,386.0,0.035,0.965,15.866001293510042,,,,,,,,,,,,
smc,reference,2,800,1.0,percentile,4,400.0,400,0.0,22.0,378.0,0.055,0.945,3.6812937499999956,,,,,,,,,,,,
smc,reference,2,800,1.0,studentised,4,400.0,400,0.0,25.0,375.0,0.0625,0.9375,3.6794301006086965,,,,,,,,,,,,
