cohort,pool,n_cells_mature,shift,comparison,metric,n_pairs,difference,mc_se
smc,reference,30,0.5,bca2000_minus_percentile2000,rejection,2000,-0.092,0.006464433033702462
smc,reference,30,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,0.0115,0.0036318686973949867
smc,reference,30,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.132,0.007570776600135852
smc,reference,30,0.5,welch_minus_percentile2000,coverage,2000,0.004,0.002644900328722131
smc,reference,30,0.5,welch_minus_percentile2000,rejection,2000,0.014,0.002811752652081659
smc,reference,30,1.0,percentile200_minus_percentile2000,coverage,2000,-0.0045,0.0032007807639307904
smc,reference,30,1.0,percentile200_minus_percentile2000,rejection,2000,0.0045,0.0032007807639307904
smc,reference,30,1.0,bca2000_minus_percentile2000,coverage,2000,0.02,0.004828214559018058
smc,reference,30,1.0,bca2000_minus_percentile2000,rejection,2000,-0.02,0.004828214559018058
smc,reference,30,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,0.0475,0.005397818376122969
smc,reference,30,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.0475,0.005397818376122969
smc,reference,30,1.0,welch_minus_percentile2000,coverage,2000,0.0005,0.002598701911688393
smc,reference,30,1.0,welch_minus_percentile2000,rejection,2000,-0.0005,0.002598701911688393
smc,reference,50,0.5,percentile200_minus_percentile2000,coverage,2000,-0.008,0.0033126253551181554
smc,reference,50,0.5,percentile200_minus_percentile2000,rejection,2000,0.015,0.004170874980031111
smc,reference,50,0.5,bca2000_minus_percentile2000,coverage,2000,-0.0015,0.003279367641186794
smc,reference,50,0.5,bca2000_minus_percentile2000,rejection,2000,-0.0745,0.005872999324070306
smc,reference,50,0.5,bootstrap_t2000_minus_percentile2000,coverage,2000,0.005,0.0030809488997809633
smc,reference,50,0.5,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.104,0.006827540380973731
smc,reference,50,0.5,welch_minus_percentile2000,coverage,2000,0.0035,0.00249939962776056
smc,reference,50,0.5,welch_minus_percentile2000,rejection,2000,0.0195,0.00325040883256082
smc,reference,50,1.0,percentile200_minus_percentile2000,coverage,2000,-0.01,0.0033846311267155776
smc,reference,50,1.0,percentile200_minus_percentile2000,rejection,2000,0.01,0.0033846311267155776
smc,reference,50,1.0,bca2000_minus_percentile2000,coverage,2000,0.007,0.00424081268698855
smc,reference,50,1.0,bca2000_minus_percentile2000,rejection,2000,-0.007,0.00424081268698855
smc,reference,50,1.0,bootstrap_t2000_minus_percentile2000,coverage,2000,0.024,0.003964827856283925
smc,reference,50,1.0,bootstrap_t2000_minus_percentile2000,rejection,2000,-0.024,0.003964827856283925
smc,reference,50,1.0,welch_minus_percentile2000,coverage,2000,-0.001,0.0026463184805972186
smc,reference,50,1.0,welch_minus_percentile2000,rejection,2000,0.001,0.0026463184805972186
