cohort,pool,n_cells_mature,shift,method,seed,n_attempted,n_valid,n_covered,n_rejected
kul3,reference,50,1.0,welch,202609174,400,400,316,84
smc,pooled,30,0.5,percentile200,202609170,400,400,321,213
smc,pooled,30,0.5,percentile200,202609171,400,400,334,205
smc,pooled,30,0.5,percentile200,202609172,400,400,316,221
smc,pooled,30,0.5,percentile200,202609173,400,400,309,219
smc,pooled,30,0.5,percentile200,202609174,400,400,330,214
smc,pooled,30,0.5,percentile2000,202609170,400,400,333,206
smc,pooled,30,0.5,percentile2000,202609171,400,400,335,205
smc,pooled,30,0.5,percentile2000,202609172,400,400,324,219
smc,pooled,30,0.5,percentile2000,202609173,400,400,313,217
smc,pooled,30,0.5,percentile2000,202609174,400,400,336,205
smc,pooled,30,0.5,bca2000,202609170,400,400,314,189
smc,pooled,30,0.5,bca2000,202609171,400,400,316,184
smc,pooled,30,0.5,bca2000,202609172,400,400,303,200
smc,pooled,30,0.5,bca2000,202609173,400,400,297,193
smc,pooled,30,0.5,bca2000,202609174,400,400,319,192
smc,pooled,30,0.5,bootstrap_t2000,202609170,400,400,325,189
smc,pooled,30,0.5,bootstrap_t2000,202609171,400,400,327,183
smc,pooled,30,0.5,bootstrap_t2000,202609172,400,400,308,198
smc,pooled,30,0.5,bootstrap_t2000,202609173,400,400,304,195
smc,pooled,30,0.5,bootstrap_t2000,202609174,400,400,329,195
smc,pooled,30,0.5,welch,202609170,400,400,340,206
smc,pooled,30,0.5,welch,202609171,400,400,348,210
smc,pooled,30,0.5,welch,202609172,400,400,328,223
smc,pooled,30,0.5,welch,202609173,400,400,325,218
smc,pooled,30,0.5,welch,202609174,400,400,345,204
smc,pooled,30,1.0,percentile200,202609170,400,400,285,115
smc,pooled,30,1.0,percentile200,202609171,400,400,274,126
smc,pooled,30,1.0,percentile200,202609172,400,400,272,128
smc,pooled,30,1.0,percentile200,202609173,400,400,264,136
smc,pooled,30,1.0,percentile200,202609174,400,400,285,115
smc,pooled,30,1.0,percentile2000,202609170,400,400,285,115
smc,pooled,30,1.0,percentile2000,202609171,400,400,276,124
smc,pooled,30,1.0,percentile2000,202609172,400,400,270,130
smc,pooled,30,1.0,percentile2000,202609173,400,400,266,134
smc,pooled,30,1.0,percentile2000,202609174,400,400,285,115
smc,pooled,30,1.0,bca2000,202609170,400,400,281,119
smc,pooled,30,1.0,bca2000,202609171,400,400,284,116
smc,pooled,30,1.0,bca2000,202609172,400,400,281,119
smc,pooled,30,1.0,bca2000,202609173,400,400,274,126
smc,pooled,30,1.0,bca2000,202609174,400,400,290,110
smc,pooled,30,1.0,bootstrap_t2000,202609170,400,400,290,110
smc,pooled,30,1.0,bootstrap_t2000,202609171,400,400,291,109
smc,pooled,30,1.0,bootstrap_t2000,202609172,400,400,282,118
smc,pooled,30,1.0,bootstrap_t2000,202609173,400,400,276,124
smc,pooled,30,1.0,bootstrap_t2000,202609174,400,400,300,100
smc,pooled,30,1.0,welch,202609170,400,400,284,116
smc,pooled,30,1.0,welch,202609171,400,400,279,121
smc,pooled,30,1.0,welch,202609172,400,400,269,131
smc,pooled,30,1.0,welch,202609173,400,400,271,129
smc,pooled,30,1.0,welch,202609174,400,400,287,113
smc,pooled,50,0.5,percentile200,202609170,400,400,353,202
smc,pooled,50,0.5,percentile200,202609171,400,400,355,184
smc,pooled,50,0.5,percentile200,202609172,400,400,345,200
smc,pooled,50,0.5,percentile200,202609173,400,400,344,207
smc,pooled,50,0.5,percentile200,202609174,400,400,358,184
smc,pooled,50,0.5,percentile2000,202609170,400,400,358,205
smc,pooled,50,0.5,percentile2000,202609171,400,400,358,179
smc,pooled,50,0.5,percentile2000,202609172,400,400,347,197
smc,pooled,50,0.5,percentile2000,202609173,400,400,350,204
smc,pooled,50,0.5,percentile2000,202609174,400,400,355,174
smc,pooled,50,0.5,bca2000,202609170,400,400,338,187
smc,pooled,50,0.5,bca2000,202609171,400,400,336,165
smc,pooled,50,0.5,bca2000,202609172,400,400,333,184
smc,pooled,50,0.5,bca2000,202609173,400,400,332,177
smc,pooled,50,0.5,bca2000,202609174,400,400,334,165
smc,pooled,50,0.5,bootstrap_t2000,202609170,400,400,351,183
smc,pooled,50,0.5,bootstrap_t2000,202609171,400,400,348,163
smc,pooled,50,0.5,bootstrap_t2000,202609172,400,400,339,176
smc,pooled,50,0.5,bootstrap_t2000,202609173,400,400,341,176
smc,pooled,50,0.5,bootstrap_t2000,202609174,400,400,346,165
smc,pooled,50,0.5,welch,202609170,400,400,363,202
smc,pooled,50,0.5,welch,202609171,400,400,366,181
smc,pooled,50,0.5,welch,202609172,400,400,359,204
smc,pooled,50,0.5,welch,202609173,400,400,354,205
smc,pooled,50,0.5,welch,202609174,400,400,360,174
smc,pooled,50,1.0,percentile200,202609170,400,400,304,96
smc,pooled,50,1.0,percentile200,202609171,400,400,325,75
smc,pooled,50,1.0,percentile200,202609172,400,400,321,79
smc,pooled,50,1.0,percentile200,202609173,400,400,301,99
smc,pooled,50,1.0,percentile200,202609174,400,400,293,107
smc,pooled,50,1.0,percentile2000,202609170,400,400,307,93
smc,pooled,50,1.0,percentile2000,202609171,400,400,328,72
smc,pooled,50,1.0,percentile2000,202609172,400,400,322,78
smc,pooled,50,1.0,percentile2000,202609173,400,400,306,94
smc,pooled,50,1.0,percentile2000,202609174,400,400,293,107
smc,pooled,50,1.0,bca2000,202609170,400,400,310,90
smc,pooled,50,1.0,bca2000,202609171,400,400,325,75
smc,pooled,50,1.0,bca2000,202609172,400,400,324,76
smc,pooled,50,1.0,bca2000,202609173,400,400,305,95
smc,pooled,50,1.0,bca2000,202609174,400,400,304,96
smc,pooled,50,1.0,bootstrap_t2000,202609170,400,400,313,87
smc,pooled,50,1.0,bootstrap_t2000,202609171,400,400,331,69
smc,pooled,50,1.0,bootstrap_t2000,202609172,400,400,327,73
smc,pooled,50,1.0,bootstrap_t2000,202609173,400,400,308,92
smc,pooled,50,1.0,bootstrap_t2000,202609174,400,400,306,94
smc,pooled,50,1.0,welch,202609170,400,400,304,96
smc,pooled,50,1.0,welch,202609171,400,400,332,68
smc,pooled,50,1.0,welch,202609172,400,400,323,77
smc,pooled,50,1.0,welch,202609173,400,400,310,90
smc,pooled,50,1.0,welch,202609174,400,400,292,108
smc,reference,30,0.5,percentile200,202609170,400,400,349,269
smc,reference,30,0.5,percentile200,202609171,400,400,353,285
smc,reference,30,0.5,percentile200,202609172,400,400,359,257
smc,reference,30,0.5,percentile200,202609173,400,400,352,270
smc,reference,30,0.5,percentile200,202609174,400,400,368,276
smc,reference,30,0.5,percentile2000,202609170,400,400,355,270
smc,reference,30,0.5,percentile2000,202609171,400,400,355,284
smc,reference,30,0.5,percentile2000,202609172,400,400,364,250
smc,reference,30,0.5,percentile2000,202609173,400,400,357,260
smc,reference,30,0.5,percentile2000,202609174,400,400,369,276
smc,reference,30,0.5,bca2000,202609170,400,400,354,227
smc,reference,30,0.5,bca2000,202609171,400,400,356,242
smc,reference,30,0.5,bca2000,202609172,400,400,362,223
