estimator,target_population,reference,n_trial,n_valid,n_excluded,max_residual,equality_flagged,bias,rmse,ratio_median,ratio_q25,ratio_q75,estimate_median,reference_median
ate-ipw-logistic,pooled,obs-pooled,50,199,1,1.7186252421197423e-13,True,-2.802336810398071e-15,5.619917956586562e-14,0.9999999999999977,0.9999999999999787,1.0000000000000175,1.8179518546192472,1.8179518546192441
ate-ipw-logistic,pooled,obs-pooled,100,200,0,3.4416913763379853e-13,True,1.8687829062002946e-14,1.0951029410587035e-13,1.0000000000000122,0.9999999999999674,1.0000000000000502,1.9301327397703911,1.9301327397702877
ate-ipw-logistic,pooled,obs-pooled,200,200,0,6.128431095930864e-14,True,2.2776225350185087e-15,2.335649746425825e-14,1.0000000000000016,0.9999999999999928,1.0000000000000107,1.8791000439128922,1.8791000439128882
ate-ipw-logistic,pooled,obs-pooled,400,200,0,1.2723155862204294e-13,True,1.674216321134736e-15,4.230413602600104e-14,1.000000000000002,0.9999999999999843,1.0000000000000149,1.866648225734675,1.8666482257346928
ate-ipw-logistic,pooled,obs-pooled,800,200,0,1.98507876802978e-13,True,-1.1196599203344703e-14,7.872920957881055e-14,0.9999999999999931,0.9999999999999644,1.0000000000000246,1.8502826041116567,1.850282604111658
ate-ipw-logistic,pooled,obs-pooled,1600,200,0,5.373479439185758e-13,True,-1.7795764861716633e-14,1.710722387173773e-13,0.9999999999999909,0.9999999999999211,1.000000000000058,1.8899759663916011,1.8899759663917588
ate-standardisation,pooled,obs-pooled,50,199,1,0.0,True,0.0,0.0,1.0,1.0,1.0,1.8179518546192441,1.8179518546192441
ate-standardisation,pooled,obs-pooled,100,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.9301327397702877,1.9301327397702877
ate-standardisation,pooled,obs-pooled,200,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.8791000439128882,1.8791000439128882
ate-standardisation,pooled,obs-pooled,400,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.8666482257346928,1.8666482257346928
ate-standardisation,pooled,obs-pooled,800,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.850282604111658,1.850282604111658
ate-standardisation,pooled,obs-pooled,1600,200,0,0.0,True,0.0,0.0,1.0,1.0,1.0,1.8899759663917588,1.8899759663917588
att-ipw,enrolled,obs-pooled,50,199,1,2.3802064529941074,False,-0.8593610545870038,1.0146793102483598,0.5522126662324284,0.3394459572953633,0.6986269366297915,0.9753889110617004,1.8179518546192441
att-ipw,enrolled,obs-pooled,100,200,0,2.3773930832283265,False,-0.9155599631258582,1.0019220396150408,0.5430475452468966,0.4004017042613225,0.6399699841597116,1.0323310766198515,1.9301327397702877
att-ipw,enrolled,obs-pooled,200,200,0,1.5748923940649773,False,-0.8990745314746111,0.9340504198893311,0.511529711818033,0.4299160847964071,0.6054226591838927,0.9405664218894145,1.8791000439128882
att-ipw,enrolled,obs-pooled,400,200,0,1.5747397928667373,False,-0.8906326419136259,0.9102746218656642,0.5286472274917293,0.4683133027594638,0.5855639711900967,0.981701280622095,1.8666482257346928
att-ipw,enrolled,obs-pooled,800,200,0,1.2041931215535193,False,-0.8832886822682917,0.8918030974758518,0.5261586611248851,0.48914537161624483,0.5698074017950341,0.9695347052500409,1.850282604111658
att-ipw,enrolled,obs-pooled,1600,200,0,1.1113500479366145,False,-0.8718559675278473,0.8761795624544018,0.5379378848648144,0.5127642422586773,0.5640718113551928,1.0203809083683963,1.8899759663917588
att-matching-all,enrolled,obs-pooled,50,199,1,2.3802064529941105,False,-0.8593610545870038,1.0146793102483596,0.552212666232428,0.3394459572953632,0.6986269366297909,0.9753889110616987,1.8179518546192441
att-matching-all,enrolled,obs-pooled,100,200,0,2.377393083228325,False,-0.9155599631258582,1.001922039615041,0.5430475452468962,0.40040170426132327,0.639969984159712,1.0323310766198517,1.9301327397702877
att-matching-all,enrolled,obs-pooled,200,200,0,1.5748923940649777,False,-0.899074531474611,0.934050419889331,0.511529711818033,0.4299160847964075,0.605422659183893,0.9405664218894156,1.8791000439128882
att-matching-all,enrolled,obs-pooled,400,200,0,1.574739792866738,False,-0.8906326419136258,0.910274621865664,0.5286472274917289,0.4683133027594637,0.5855639711900974,0.981701280622095,1.8666482257346928
att-matching-all,enrolled,obs-pooled,800,200,0,1.2041931215535167,False,-0.8832886822682918,0.8918030974758517,0.5261586611248856,0.4891453716162447,0.5698074017950336,0.969534705250041,1.850282604111658
att-matching-all,enrolled,obs-pooled,1600,200,0,1.1113500479366127,False,-0.8718559675278474,0.8761795624544018,0.5379378848648144,0.5127642422586766,0.5640718113551926,1.020380908368395,1.8899759663917588
att-standardisation,enrolled,obs-pooled,50,199,1,2.38020645299411,False,-0.8593610545870038,1.0146793102483596,0.552212666232428,0.33944595729536314,0.6986269366297908,0.9753889110616988,1.8179518546192441
att-standardisation,enrolled,obs-pooled,100,200,0,2.377393083228325,False,-0.9155599631258582,1.001922039615041,0.5430475452468962,0.40040170426132327,0.639969984159712,1.0323310766198515,1.9301327397702877
att-standardisation,enrolled,obs-pooled,200,200,0,1.5748923940649777,False,-0.899074531474611,0.934050419889331,0.511529711818033,0.4299160847964075,0.605422659183893,0.9405664218894156,1.8791000439128882
att-standardisation,enrolled,obs-pooled,400,200,0,1.574739792866738,False,-0.8906326419136259,0.910274621865664,0.5286472274917289,0.4683133027594637,0.5855639711900975,0.9817012806220952,1.8666482257346928
att-standardisation,enrolled,obs-pooled,800,200,0,1.2041931215535167,False,-0.8832886822682918,0.891803097475852,0.5261586611248856,0.4891453716162447,0.5698074017950336,0.9695347052500409,1.850282604111658
att-standardisation,enrolled,obs-pooled,1600,200,0,1.1113500479366127,False,-0.8718559675278474,0.8761795624544018,0.5379378848648144,0.5127642422586767,0.5640718113551926,1.020380908368395,1.8899759663917588
ols-stratum-dummies,variance-weighted,obs-pooled,50,199,1,1.5941564507064583,False,-0.5457715106727921,0.6693556584391617,0.7107700749094695,0.5781905187756471,0.8280578922632232,1.278293383809606,1.8179518546192441
ols-stratum-dummies,variance-weighted,obs-pooled,100,200,0,1.8726015931513047,False,-0.573914416203034,0.6400116740778025,0.7112689673856498,0.6186456020153632,0.7704811161453136,1.3813512670795842,1.9301327397702877
ols-stratum-dummies,variance-weighted,obs-pooled,200,200,0,1.1283124596037575,False,-0.5637684493610291,0.5877189745955893,0.6938609241690405,0.6477137226824489,0.7443786338338747,1.286767599635041,1.8791000439128882
